id,charter_num,date,donor_type,act_summary,arenga_type
51,2016,993–1048,single,Aymiricus makes a donation,unique
52,2018 / B 130,994–1000,family,Alindrada and her sons Gauzeran and Ebrard make a donation,C
53,2029,993–1048,single,Teutbert makes a donation,unique
54,2032,994–1016,single,Scripta (a real woman's name!) makes a donation,C
55,2034 / B 648,994–998,family,Warner and his wife Rotrud make a donation,H
56,2038 / B 447,1000–1010,single,Eldric makes a donation,H
57,2041 / B 767,993–1048,single,Girberga wife of Otmar makes a donation,J
58,2042 / B 793,994–1000,single,Durann makes a donation for the burial of his son Humbert,K
59,2057 / B 475,993–1048,single,Stephen makes a donation,A
60,2058 / B 627,993–1048,single,Ebrardus makes a donation,G
61,2063 / B 593,993–1048,cleric,Beraldus clericus makes a donation,unique
62,2064 / B 628,994–1020,family,Durannus and his mother Aeva make a donation,C
63,2065 / B 594,993–1048,family,Anselm brother of one dead Henry and his son Bernard and wife Adeleidis make a donation on behalf of Henry,K
64,2067 / B 617,1000–1030,single,Odo makes a donation for the souls of his brother William and his amita Tezanis,unique
65,2082 / B 775,993–1048,single,Durannus makes a donation,unique
66,2084 / B 451,994–1010,single,Roclenus makes a donation,A2
67,2085 / B 658,993–1048,single,Roclenus makes a donation (including himself!),B2
68,2089 / B 201,993–1048,family,Hugh with the consent of his wife Ermentrude makes a donation,B2
69,2091 / B 101,993–1048,family,Gauzerannus with the consent of his wife and sons makes a donation,D
70,2093 / B 146,993–1048,single,Bernard makes a donation,unique
71,2096 / B 683,993–1048,single,Teuza makes a donation,J
72,2116 / B 110,993–1048,family,Eva and her daughter Joza make a donation,C
73,2125 / B 194,993–1048,family,Ardanius and his brothers make a donation,unique
74,2129 / B 214,993–1048,single,Aremborga makes a donation,A3
75,2135 / B 267,994–1008,single,Beraldus makes a donation,unique
76,2148 / B 399,993–1048,family,Girbaldus and his son Leotaldus make a donation,C
77,2172 / B 444,993–1048,family,Bernard and his wife Teiza make a donation,C
78,2190 / B 546,994–1005,single,Aldigerius makes a donation,C
79,2191 / B 547,994,single,Ainard makes a donation on behalf of his brother Bernard,C
80,2201 / B 604,993–1048,family,Aimenildis femina at the advice and with the consent of her son Gerard makes a donation,D
81,2211 / B 641,993–1048,single,Odo makes a donation,unique
82,2218 / B 701,993–1048,family,An unnamed woman with the consent of her sons and brothers makes a donation,A3
83,2219 / B 708,993–1048,family,Erveus and his wife Guandalmodis and their son Wido make a donation,C
84,2222 / B 716,994–1015,single,Heldigrinus makes a donation on behalf of his Uncle Achimi a presbyter and his relative Isembald,C
85,2228 / B 762,993–1048,single,Eva wife of a now dead Lezelin makes a donation,C
86,2240 / B 559,994,family,Warulf and his wife Blismodis make a donation,H
87,2246 / B 526,994,single,Hugh makes a donation,B2
88,2251 / A 101,994,family,Maimbert and his wife Christina and their son Tresmundus make a donation,H
89,2262 / B 163,994,cleric,Girbaldus presbyter makes a donation,A3
90,2278 / B 68,994,single,Bernaldus makes a donation,A3
91,2279 / B 573,before 996,single,Raimodis makes a donation,C
92,2280 / B 441,994–1032,family,Adalardus and his wife Ocdela and their sons make a donation,D
93,2289 / A 425,995,single,Hubertus makes a donation,H
94,2292 / B 104,995,comes,Artaldus comes makes a donation,H
95,2301 / A 109,995,group,Teza wife of Drogo along with his wadiator make a donation,B2
96,2302 / A 340,995,family,Aylaldus and his wife Tetza make a donation,unique
97,2308 / B 388,996,group,Wadiatores of Tebrand Drebergia his mother among others make a donation on behalf of Tebrand,H
98,2310,996–997,family,Bernard and his wife Aalgardis make a donation,B
99,2318 / B 474,996–1031,family,Eldinus and his wife Guntrudi make a donation,C
100,2319 / B 346,c. 996,family,Dodo with the consent of his son Dodo makes a donation,A
101,2328 / B 404,1000,single,Bego makes a donation,C
102,2360 / B 325,996–1031,family,Wido and his wife Eymenildis make a donation,unique
103,2369 / B 500,996–1031,single,Richard makes a donation,A
104,2375 / B 595,996–1031,family,Bernard and his wife Ocenda make a donation,C
105,2384 / B 508,997,family,Ozenda and her sons Durannus and Pontius make a donation,H
106,2385 / B 652,997,single,Arbert makes a donation,H
107,2401 / B 533,997,family,Winebaldus and his wife Tez make a donation,B2
108,2408 / B 42,997–1030,cleric,Teotardus clericus makes a donation,unique
109,2428 / B 113,996–1015,family,Wido brother of Milo and Aeva his wife make a donation on behalf of Milo,D
110,2430 / B 124,997–1031,single,Arleius makes a donation,B
111,2445 / B 611,997–1031,single,Gauzerannus makes a donation on behalf of his uncle,C
